"","cluster","rho","p_valor"
"rho...1",1,0.0363667619279571,0.838206189616486
"rho...2",2,0.188211870746492,0.164792565291975
"rho...3",3,-0.1,0.95
"...4",4,NA,NA
"rho...5",5,0.0683373071367308,0.841760251396407
"rho...6",6,0.402698242690323,0.0459527713504654
"rho...7",7,0.53921568627451,0.0275330874762398
"rho...8",8,-0.0520156486610299,0.822818920575891
"...9",9,NA,NA
"rho...10",10,-0.0857909189756493,0.761126464793398
"rho...11",11,-0.0946958518823491,0.667350342398251
"rho...12",12,-0.0766527261648592,0.755118483488235
"...13",13,NA,NA
"rho...14",14,-0.034965034965035,0.921184082791962
"rho...15",15,0.256508707789262,0.163642926596786
"rho...16",16,0.160839160839161,0.619356169033867
"rho...17",17,0.725044894730188,0.00762875095968552
"...18",18,NA,NA
"rho...19",19,-0.196899805151331,0.166087315621597
"rho...20",20,-0.0143367157490038,0.901511002264489
"rho...21",21,0.619276249238528,0.0105230884125285
"rho...22",22,-0.202919862478357,0.699797968157019
"rho...23",23,0.0907841299003204,0.768028945359995
"rho...24",24,0.190221058162795,0.205428862145553
"rho...25",25,-0.0464498621691324,0.784858454771559
"rho...26",26,-0.141842209253241,0.431049728334592
"rho...27",27,0,1
"rho...28",28,-0.5,1
"rho...29",29,-0.252947719688543,0.176895291851516
"rho...30",30,0.108787541713014,0.565724868515437
"rho...31",31,0.0638461538461539,0.76135112873934
"rho...32",32,-0.245454545454545,0.282205505495962
"rho...33",33,0.385294117647059,0.14140872493054
"rho...34",34,-0.0607553366174056,0.758219336854786
"rho...35",35,-0.0526315789473684,0.837041895200314
"...36",36,NA,NA
"rho...37",37,0.3,0.683333333333333
"rho...38",38,0.0548128342245989,0.761305567487206
"rho...39",39,0.293114973262032,0.0979958204331487
"rho...40",40,0.385956926384543,0.00062649190123697
"rho...41",41,0.531909510271771,0.00049223349398235
"rho...42",42,-0.482517482517483,0.115373605094864
"rho...43",43,0.163715269588188,0.131854716409052
"rho...44",44,0.348461538461538,0.0883590674755782
"rho...45",45,0.4,0.75
"rho...46",46,-0.5,1
"rho...47",47,-0.209362985860646,0.362387322583855
"rho...48",48,0.133333333333333,0.743540564373898
"rho...49",49,0.233062394200426,0.0638302425599148
"rho...50",50,0.364347826086956,0.0807636087528708
"rho...51",51,-0.6,0.35
"rho...52",52,0.115700849816171,0.316326762373784
"rho...53",53,0.333333333333333,0.385322971781305
"...54",54,NA,NA
"rho...55",55,0.436363636363636,0.182531860964529
"...56",56,NA,NA
"rho...57",57,1,0.333333333333333
"rho...58",58,0.392857142857143,0.395634920634921
"rho...59",59,-0.130940170940171,0.522138991762802
"rho...60",60,0.390909090909091,0.236519264676913
"rho...61",61,0.0278637770897833,0.914855800550612
"rho...62",62,-0.4,0.516666666666667
"rho...63",63,0.428571428571429,0.419444444444444
"rho...64",64,-0.4,0.75
"...65",65,NA,NA
"...66",66,NA,NA
"rho...67",67,-0.371428571428571,0.497222222222222
"rho...68",68,-0.607142857142857,0.166666666666667
"rho...69",69,-0.0782085561497326,0.664238324242623
"rho...70",70,-0.290909090909091,0.386434553629285
"...71",71,NA,NA
"rho...72",72,-0.296969696969697,0.406950227375658
"rho...73",73,0.280519480519481,0.217278462012639
"rho...74",74,0.406495726495726,0.040317082137397
"rho...75",75,-0.5,1
"rho...76",76,-1,0.0166666666666667
"rho...77",77,0.4,0.75
"rho...78",78,-0.0616541353383459,0.796686746072544
"rho...79",79,-0.335164835164835,0.263148014601437
