"","codigo","IDHM"
"1","110001",0.641
"2","110002",0.702
"3","110003",0.65
"4","110004",0.718
"5","110005",0.692
"6","110006",0.685
"7","110007",0.613
"8","110008",0.611
"9","110009",0.672
"10","110010",0.657
"11","110011",0.689
"12","110012",0.714
"13","110013",0.596
"14","110014",0.643
"15","110015",0.682
"16","110018",0.71
"17","110020",0.736
"18","110025",0.664
"19","110026",0.643
"20","110028",0.7
"21","110029",0.67
"22","110030",0.731
"23","110032",0.646
"24","110033",0.587
"25","110034",0.643
"26","110037",0.592
"27","110040",0.625
"28","110045",0.616
"29","110050",0.634
"30","110060",0.646
"31","110070",0.593
"32","110080",0.649
"33","110090",0.658
"34","110092",0.652
"35","110094",0.612
"36","110100",0.596
"37","110110",0.614
"38","110120",0.638
"39","110130",0.643
"40","110140",0.607
"41","110143",0.587
"42","110145",0.617
"43","110146",0.665
"44","110147",0.641
"45","110148",0.649
"46","110149",0.611
"47","110150",0.598
"48","110155",0.643
"49","110160",0.589
"50","110170",0.609
"51","110175",0.584
"52","110180",0.627
"53","120001",0.604
"54","120005",0.588
"55","120010",0.614
"56","120013",0.589
"57","120017",0.575
"58","120020",0.664
"59","120025",0.653
"60","120030",0.539
"61","120032",0.469
"62","120033",0.625
"63","120034",0.551
"64","120035",0.501
"65","120038",0.622
"66","120039",0.532
"67","120040",0.727
"68","120042",0.567
"69","120043",0.517
"70","120045",0.64
"71","120050",0.603
"72","120060",0.539
"73","120070",0.599
"74","120080",0.576
"75","130002",0.527
"76","130006",0.56
"77","130008",0.594
"78","130010",0.561
"79","130014",0.637
"80","130020",0.45
"81","130030",0.577
"82","130040",0.5
"83","130050",0.574
"84","130060",0.574
"85","130063",0.506
"86","130068",0.565
"87","130070",0.588
"88","130080",0.56
"89","130083",0.569
"90","130090",0.53
"91","130100",0.549
"92","130110",0.557
"93","130115",0.568
"94","130120",0.586
"95","130130",0.563
"96","130140",0.563
"97","130150",0.509
"98","130160",0.53
"99","130165",0.532
"100","130170",0.605
"101","130180",0.481
"102","130185",0.613
"103","130190",0.644
"104","130195",0.477
"105","130200",0.654
"106","130210",0.522
"107","130220",0.522
"108","130230",0.516
"109","130240",0.531
"110","130250",0.614
"111","130255",0.596
"112","130260",0.737
"113","130270",0.582
"114","130280",0.498
"115","130290",0.588
"116","130300",0.586
"117","130310",0.558
"118","130320",0.57
"119","130330",0.554
"120","130340",0.658
"121","130350",0.496
"122","130353",0.647
"123","130356",0.611
"124","130360",0.479
"125","130370",0.49
"126","130380",0.609
"127","130390",0.521
"128","130395",0.577
"129","130400",0.632
"130","130406",0.616
"131","130410",0.502
"132","130420",0.639
"133","130423",0.548
"134","130426",0.527
"135","130430",0.62
"136","130440",0.588
"137","140002",0.484
"138","140005",0.542
"139","140010",0.752
"140","140015",0.626
"141","140017",0.619
"142","140020",0.624
"143","140023",0.639
"144","140028",0.582
"145","140030",0.665
"146","140040",0.594
"147","140045",0.65
"148","140047",0.619
"149","140050",0.655
"150","140060",0.649
"151","140070",0.453
"152","150010",0.628
"153","150013",0.622
"154","150020",0.506
"155","150030",0.489
"156","150034",0.564
"157","150040",0.564
"158","150050",0.642
"159","150060",0.665
"160","150070",0.484
"161","150080",0.718
"162","150085",0.548
"163","150090",0.52
"164","150095",0.519
"165","150100",0.541
"166","150110",0.471
"167","150120",0.578
"168","150125",0.594
"169","150130",0.662
"170","150140",0.746
"171","150145",0.588
"172","150150",0.665
"173","150157",0.589
"174","150160",0.546
"175","150170",0.6
"176","150172",0.613
"177","150175",0.591
"178","150178",0.568
"179","150180",0.503
"180","150190",0.552
"181","150195",0.473
"182","150200",0.546
"183","150210",0.577
"184","150215",0.673
"185","150220",0.655
"186","150230",0.548
"187","150240",0.673
"188","150250",0.453
"189","150260",0.602
"190","150270",0.64
"191","150275",0.566
"192","150276",0.55
"193","150277",0.636
"194","150280",0.502
"195","150285",0.578
"196","150290",0.582
"197","150293",0.615
"198","150295",0.56
"199","150300",0.563
"200","150304",0.583
"201","150307",0.526
"202","150309",0.56
"203","150310",0.509
"204","150320",0.595
"205","150330",0.547
"206","150340",0.572
"207","150345",0.489
"208","150350",0.559
"209","150360",0.64
"210","150370",0.528
"211","150375",0.505
"212","150380",0.622
"213","150390",0.592
"214","150400",0.541
"215","150405",0.599
"216","150410",0.597
"217","150420",0.668
"218","150430",0.57
"219","150440",0.609
"220","150442",0.676
"221","150445",0.582
"222","150450",0.418
"223","150460",0.575
"224","150470",0.547
"225","150480",0.589
"226","150490",0.547
"227","150495",0.502
"228","150497",0.581
"229","150500",0.609
"230","150503",0.673
"231","150506",0.537
"232","150510",0.594
"233","150520",0.507
"234","150530",0.623
"235","150540",0.568
"236","150543",0.624
"237","150548",0.515
"238","150549",0.589
"239","150550",0.645
"240","150553",0.715
"241","150555",0.574
"242","150560",0.581
"243","150563",0.563
"244","150565",0.552
"245","150570",0.562
"246","150580",0.483
"247","150590",0.503
"248","150600",0.523
"249","150610",0.577
"250","150611",0.543
"251","150613",0.672
"252","150616",0.638
"253","150618",0.602
"254","150619",0.548
"255","150620",0.647
"256","150630",0.608
"257","150635",0.627
"258","150640",0.557
"259","150650",0.659
"260","150655",0.546
"261","150658",0.544
"262","150660",0.598
"263","150670",0.602
"264","150680",0.691
"265","150690",0.587
"266","150700",0.632
"267","150710",0.585
"268","150715",0.594
"269","150720",0.532
"270","150730",0.594
"271","150740",0.608
"272","150745",0.595
"273","150746",0.583
"274","150747",0.539
"275","150750",0.55
"276","150760",0.591
"277","150770",0.558
"278","150775",0.59
"279","150780",0.514
"280","150790",0.615
"281","150795",0.588
"282","150796",0.605
"283","150797",0.635
"284","150800",0.586
"285","150803",0.531
"286","150805",0.562
"287","150808",0.659
"288","150810",0.666
"289","150812",0.604
"290","150815",0.589
"291","150820",0.617
"292","150830",0.515
"293","150835",0.596
"294","150840",0.646
"295","160005",0.709
"296","160010",0.642
"297","160015",0.626
"298","160020",0.643
"299","160021",0.628
"300","160023",0.656
"301","160025",0.576
"302","160027",0.665
"303","160030",0.733
"304","160040",0.592
"305","160050",0.658
"306","160053",0.64
"307","160055",0.614
"308","160060",0.692
"309","160070",0.592
"310","160080",0.619
"311","170025",0.665
"312","170030",0.657
"313","170035",0.663
"314","170040",0.636
"315","170070",0.708
"316","170100",0.671
"317","170105",0.648
"318","170110",0.651
"319","170130",0.593
"320","170190",0.639
"321","170200",0.675
"322","170210",0.752
"323","170215",0.604
"324","170220",0.631
"325","170230",0.68
"326","170240",0.651
"327","170255",0.67
"328","170270",0.677
"329","170290",0.627
"330","170300",0.642
"331","170305",0.638
"332","170307",0.603
"333","170310",0.642
"334","170320",0.638
"335","170330",0.66
"336","170360",0.684
"337","170370",0.686
"338","170380",0.627
"339","170382",0.627
"340","170384",0.544
"341","170386",0.662
"342","170388",0.64
"343","170389",0.594
"344","170390",0.658
"345","170410",0.569
"346","170460",0.619
"347","170510",0.62
"348","170550",0.701
"349","170555",0.697
"350","170560",0.592
"351","170600",0.605
"352","170610",0.673
"353","170625",0.644
"354","170650",0.581
"355","170700",0.701
"356","170710",0.683
"357","170720",0.583
"358","170730",0.679
"359","170740",0.57
"360","170755",0.697
"361","170765",0.689
"362","170770",0.621
"363","170820",0.67
"364","170825",0.659
"365","170830",0.621
"366","170900",0.576
"367","170930",0.741
"368","170950",0.759
"369","170980",0.62
"370","171050",0.612
"371","171070",0.616
"372","171090",0.601
"373","171110",0.65
"374","171150",0.662
"375","171180",0.584
"376","171190",0.627
"377","171195",0.579
"378","171200",0.675
"379","171215",0.66
"380","171240",0.57
"381","171245",0.639
"382","171250",0.631
"383","171270",0.607
"384","171280",0.58
"385","171320",0.684
"386","171330",0.662
"387","171360",0.622
"388","171370",0.62
"389","171380",0.628
"390","171395",0.596
"391","171420",0.673
"392","171430",0.643
"393","171488",0.631
"394","171500",0.661
"395","171510",0.639
"396","171515",0.699
"397","171525",0.596
"398","171550",0.675
"399","171570",0.571
"400","171575",0.673
"401","171610",0.764
"402","171620",0.595
"403","171630",0.661
"404","171650",0.732
"405","171660",0.674
"406","171665",0.627
"407","171670",0.671
"408","171700",0.605
"409","171720",0.621
"410","171750",0.65
"411","171780",0.603
"412","171790",0.624
"413","171800",0.645
"414","171820",0.74
"415","171830",0.583
"416","171840",0.669
"417","171845",0.669
"418","171850",0.5
"419","171855",0.572
"420","171865",0.608
"421","171870",0.616
"422","171875",0.6
"423","171880",0.606
"424","171884",0.659
"425","171886",0.616
"426","171888",0.634
"427","171889",0.651
"428","171890",0.595
"429","171900",0.662
"430","172000",0.637
"431","172010",0.605
"432","172015",0.574
"433","172020",0.623
"434","172025",0.605
"435","172030",0.573
"436","172049",0.643
"437","172065",0.675
"438","172080",0.604
"439","172085",0.667
