"","codigo","pib_mil"
"1","110001",495629
"2","110002",2578830
"3","110003",139959
"4","110004",2260644
"5","110005",506854
"6","110006",334851
"7","110007",349247
"8","110008",238769
"9","110009",624760
"10","110010",892883
"11","110011",1500890
"12","110012",3782972
"13","110013",633007
"14","110014",359524
"15","110015",834168
"16","110018",1163877
"17","110020",17912070
"18","110025",427752
"19","110026",111023
"20","110028",1283434
"21","110029",142612
"22","110030",2831175
"23","110032",615804
"24","110033",529261
"25","110034",260348
"26","110037",288681
"27","110040",358464
"28","110045",726031
"29","110050",165758
"30","110060",144437
"31","110070",274627
"32","110080",547919
"33","110090",103963
"34","110092",304759
"35","110094",384878
"36","110100",177922
"37","110110",184014
"38","110120",216409
"39","110130",217046
"40","110140",291768
"41","110143",117334
"42","110145",107283
"43","110146",116503
"44","110147",61841
"45","110148",89230
"46","110149",353247
"47","110150",236312
"48","110155",92328
"49","110160",191509
"50","110170",215381
"51","110175",166786
"52","110180",146564
"53","120001",253610
"54","120005",93054
"55","120010",454803
"56","120013",157656
"57","120017",153210
"58","120020",1440379
"59","120025",423163
"60","120030",356965
"61","120032",82484
"62","120033",205845
"63","120034",131565
"64","120035",195237
"65","120038",264938
"66","120039",118847
"67","120040",9143620
"68","120042",191534
"69","120043",75198
"70","120045",361398
"71","120050",540236
"72","120060",483687
"73","120070",275091
"74","120080",227499
"75","130002",196046
"76","130006",95482
"77","130008",121824
"78","130010",199544
"79","130014",227137
"80","130020",150976
"81","130030",382957
"82","130040",190316
"83","130050",279552
"84","130060",350838
"85","130063",166374
"86","130068",148984
"87","130070",428530
"88","130080",327113
"89","130083",169202
"90","130090",125867
"91","130100",337838
"92","130110",329006
"93","130115",314131
"94","130120",2212267
"95","130130",504601
"96","130140",481801
"97","130150",172573
"98","130160",187111
"99","130165",132613
"100","130170",698421
"101","130180",173479
"102","130185",664200
"103","130190",2034551
"104","130195",102298
"105","130200",129557
"106","130210",64130
"107","130220",116499
"108","130230",227757
"109","130240",506494
"110","130250",1451150
"111","130255",262444
"112","130260",84867423
"113","130270",543051
"114","130280",138678
"115","130290",541700
"116","130300",167119
"117","130310",276298
"118","130320",168560
"119","130330",211910
"120","130340",1177067
"121","130350",166411
"122","130353",957599
"123","130356",414099
"124","130360",152531
"125","130370",189424
"126","130380",357535
"127","130390",283761
"128","130395",122570
"129","130400",114322
"130","130406",616651
"131","130410",194025
"132","130420",1022967
